ID,Question,A,B,C,D,Answer,Subject
0,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",0,4,2,6,B,abstract_algebra
30,陈述 1 | 若 H 是群 G 的子群，且 a 属于 G，则 aH = Ha。陈述 2 | 若 H 是群 G 的正规子群，且 a 属于 G，则对于 H 中的所有 h，ah = ha。,真，真,假，假,真，假,假，真,B,abstract_algebra
36,计算给定环中的乘积。Z_26 中：(20)(-8),0,1,11,22,D,abstract_algebra
41,求环 Z_3 x 3Z 的特征。,0,3,12,30,A,abstract_algebra
64,从 Z 到 Z_2 有多少同态？,1,2,无穷多,0,B,abstract_algebra
68,Z_5[x] 中：多项式 x^4 + 4 可以分解成线性因子。求此因子分解。,(x − 2)(x + 2)(x − 1)(x + 1),(x+1)^4,(x-1)(x+1)^3,(x-1)^3(x+1),A,abstract_algebra
69,陈述 1 | 存在一个任意正整数秩的自由阿贝尔群。陈述 2 | 一个有限生成的阿贝尔群，若其贝蒂数等于某个生成集中的元素个数，则其是自由阿贝尔群。,真，真,假，假,真，假,假，真,A,abstract_algebra
74,陈述 1 | 若 a 和 b 是群的元素，且 a 不等于 b，则 a^2 不等于 b^2。陈述 2 | 二面体群上的旋转集合构成一个循环子群。,真，真,假，假,真，假,假，真,D,abstract_algebra
10,您发现患者的颌下淋巴结肿大。您认为可能存在感染的部位是,硬腭。,硬腭和上唇。,硬腭、上唇和上中切牙。,硬腭、上唇、上中切牙和下第一磨牙。,D,anatomy
50,活体患者可触及下列哪些骨性结构？,眶上孔,眶下孔,颏孔,以上均正确,D,anatomy
60,下列哪项是具有胰岛素分泌功能的消化系统附属器官？,肾上腺,胆囊,肝,胰腺,D,anatomy
72,在脊髓中，运动神经元细胞体位于,第 I 层。,第 II 层。,第 V 层。,第 IX 层,D,anatomy
77,患者在外卖店站着吃饭时，一颗严重龋齿的牙冠突然断裂，患者误吸入该牙冠碎片。该碎片更可能进入,右肺，因为右主支气管比左主支气管直径更大并且更加竖直。,左肺，因为左主支气管比右主支气管直径更大并且更加竖直。,右肺或者左肺，因为两侧的主支气管直径相当、角度相同。,右肺或者左肺，因为没有能够促使碎片向某一特定方向移动的因素。,A,anatomy
30,为什么内行星比外行星由更致密的材料组成？,一开始，当原行星盘旋转得更快时，离心力将较轻的物质抛向太阳星云的外部。,在星云的内部，由于高温，只有金属和岩石能够凝结，而氢化合物虽然更丰富，但只能在较冷的外部区域凝结。,密度更大的物质更重，沉入星云的中心。,当太阳星云形成一个圆盘时，物质自然地分离成条带，在我们特定的太阳系中，密度较大的物质沉降在靠近太阳的地方，而较轻的物质则出现在外部。,B,astronomy
54,以下哪一项（或多项）不是由轨道共振引起的？,海王星与冥王星的周期比为 2:3,柯克伍德空隙。,土星环上的缝隙。,木星的小卫星破裂形成环形物质。,D,astronomy
63,以下哪一项最有可能解释为什么金星没有强磁场？,它的旋转速度太慢。,它的大气层太厚。,它的体积太大。,它没有金属芯。,A,astronomy
87,随着恒星生命的发展，会产生重元素。这些元素在恒星周围按以下顺序形成层（从外层开始）：,H → He → Li → N → O → Si → Fe,H → He → C → O → Ne → Si → Fe,H → He → Li → O → Ne → Si → Fe,H → He → C → N → O → Si → Fe,B,astronomy
90,火星的大气压力为 600 帕斯卡。如果火星上的重力加速度（大约）是 4 米/平米秒，火星的表面积约为 145000000 平方公里，那么火星大气的近似质量是多少？,2.2x1011 千克,2.2x1014 千克,2.2x1020 千克,2.2x1016 千克,D,astronomy
5,随着冲刺次数的增加：,厌氧贡献逐渐增加。,肌肉的 pH 值降到 6.0 以下。,血糖浓度低于 3 mmol/L。,有氧代谢的相对贡献增加。,D,clinical_knowledge
63,对于系统性硬化症，下列哪项是正确的？,它对男性的影响大于女性,若看到毛细血管扩张，可确定此诊断,蛛形肢是此病的一个特征,病人的鼻子呈鹰嘴状，皮肤呈蜡质,D,clinical_knowledge
122,以下哪一种药物可用于增强胃动力？,肾上腺素。,奥昔布宁。,红霉素。,卡马西平。,C,clinical_knowledge
126,我们的遗传物质是由什么组成？,脱氧核糖核酸。,核糖核酸。,二硝基核酸。,蛋白质。,A,clinical_knowledge
136,关于手臂反射的评估，下列哪项是正确的？,肱二头肌反射的根值是 C5、C6,若轻拍肌腱时没有反射，则记录为缺失,肱三头肌腱在肘前窝受到撞击,手指剧烈抽搐证实下运动神经元损伤,A,clinical_knowledge
137,下面哪一种最有可能导致气管偏离？,左基底性肺炎,少量右侧胸腔积液,右上肺叶以前有结核,特发性纤维化肺泡炎,C,clinical_knowledge
211,在什么情况下你不会使用导管瓣膜？,患者是术后的。,是患者的选择。,患者有膀胱感觉。,不需要测量尿液。,A,clinical_knowledge
53,小鼠精子含有能够结合小鼠卵子透明带糖蛋白（ZP3）的受体蛋白。ZP3 受体与 ZP3 的结合触发精子的顶体反应。以下所有实验观察结果都是预期的，除了：,向卵子注射能够结合 ZP3 的抗体会阻止体外受精。,在将精子与卵子混合之前，将精子与纯化的 ZP3 一起孵育会阻止体外受精。,将卵子与能够结合 ZP3 的抗体一起孵育会阻止体外受精。,用另一种糖蛋白 ZP2 包被合成珠子未能导致精子在珠子上的聚集。,A,college_biology
70,具有ε重链并位于肥大细胞和嗜碱性白细胞的质膜上的免疫球蛋白属于哪类抗体,IgE,IgA,IgD,IgM,A,college_biology
106,以下关于胚胎卵裂的陈述哪项是不正确的？,卵黄的存在会抑制卵裂。,端黄卵进行部分卵裂。,植物极比动物极更容易发生卵裂,卵裂的快速有丝分裂直接产生卵裂球。,C,college_biology
137,下列哪一活性碳池在地球上最大并且对碳循环的贡献最大？,大气,雨林植被,可开采的化石燃料,海洋,D,college_biology
18,下列哪项陈述是正确的？,质子和中子有轨道角动量和自旋角动量。,质子有轨道角动量和自旋角动量，中子有自旋角动量。,质子和中子只有轨道角动量。,质子和中子只有自旋角动量。,C,college_chemistry
74,所有蛋白质都吸收波长约 190 nm 的电磁辐射，这对应于蛋白质分子中的π → π*激发。这种波长位于光谱的哪个区域？,X 射线,紫外线,可见光,红外线,B,college_chemistry
96,下列离子中，哪个离子的半径最小？,K+,Ca2+,Sc3+,Rb+,C,college_chemistry
25,"“神奇内存”有两项操作：读取和清空。这两项操作不可分割且相互排斥。“清空”会将神奇内存归零。“读取”返回的值则表示最近一次“清空”操作之后执行的“读取”操作的次数。那么，关于“神奇内存”，以下哪一项（或哪几项）陈述是正确的？
I. 神奇内存可提供原子“检查并设置”功能。
II. 神奇内存可用于协调在共享内存多处理器上运行的进程。
III. 神奇内存只能在多处理器上发挥作用。",只有 I,只有 II,只有 III,I 和 II,D,college_computer_science
68,两个单用户工作站连接到同一个局域网。在其中一个工作站上，通过网络从文件服务器上访问文件页面；每个页面的平均访问时间为 0.1 秒。在另一个工作站上，从本地磁盘访问文件页面，每个页面的平均访问时间为 0.05 秒。某次编译需要运行 30 秒钟的计算并访问 200 次文件页面。如果假定计算与文件访问不重叠，那么，在无磁盘（文件服务器）工作站上运行该编译所需的总时长与在有本地磁盘的工作站上运行该编译所需的总时长之比是多少？,1-Jan,4-May,3-May,5-Oct,B,college_computer_science
90,"数组 A 包含 256 个元素，每个元素有 4 个字节。第一个元素存储在物理地址 4,096 之处。
数组 B 包含 512 个元素，每个元素有 4 个字节。第一个元素存储在物理地址 8,192 之处。
假设只有数组 A 和数组 B 可以缓存在一个初始为空、物理编址、物理标记且直接映射的 2K 字节缓存中，且该缓存区的块大小为 8 字节。然后执行以下循环。
for (i = 0; i < 256; i++)
    A[i] = A[i] + B[2*i];
那么，在执行循环期间，如果缓存采用直写策略，将有多少字节被写入内存？",0,256,1024,2048,C,college_computer_science
37,设 V 是所有 2 x 3 实数矩阵的实向量空间，设 W 是所有实 4 x 1 列向量的实向量空间。若 T 是从 V 到 W 的线性变换，T 子空间核的维数是多少？,2,3,4,5,A,college_mathematics
91,"若 f : (0, 1) → (0, 1]，则以下哪项为真？
I. f 是一对一、映上函数。
II. f 的像是紧集。
III. f 是连续、一对一、映上函数。",仅 I,仅 II,仅 I 和 II,仅 I 和 III,C,college_mathematics
5,脂肪酸在输送到线粒体时与下列哪种物质结合：,硫激酶。,辅酶 A (CoA),乙酰辅酶 A (acetyl-CoA),肉碱。,D,college_medicine
33,细胞的能量电荷是：,细胞内部和外部的电荷差。,由钠钾 ATP 酶产生。,细胞使用能量的总速率。,总腺嘌呤核苷酸库被磷酸化的程度。,D,college_medicine
153,如何能从同一个基因产生多种不同的蛋白质？,通过选择性转录基因中不同部分的 DNA。,通过使初级转录物产生的 mRNA 分子的长度变成两倍或三倍。,许多基因的初级转录物可以以不同的方式剪接以产生不同的 mRNAs，这一过程称为选择性 RNA 剪接。,通过初级转录物形成 mRNA 分子后，mRNA 分子的剪接。,C,college_medicine
159,无氧代谢指的是 ATP 的生成：,不涉及 ADP。,不使用糖原。,不使用氧气。,无氧气可用。,C,college_medicine
166,高能磷酸盐、ATP 和磷酸肌酸的分解释放的能量可以维持最大强度运动约多久：,1-2 秒。,5-10 秒。,30-40 秒。,50-60 秒。,B,college_medicine
18,一根米尺以 0.8c 的速度从观察者身边经过。在观察者的参考系中，米尺经过观察者需要多长时间？,1.6 纳秒,2.5 纳秒,4.2 纳秒,6.9 纳秒,B,college_physics
26,一位天文学家观察一颗绕行星运行的非常小的卫星，并测量了卫星与行星中心的最小和最大距离以及卫星的最大轨道速度。下列哪项不能根据这些测量结果计算出来？,月球质量,行星质量,月球最小速度,轨道周期,A,college_physics
41,光路长度为 10 厘米的气室放置在迈克尔逊干涉仪的一个臂中。如果干涉仪的光源是波长为 632.2 纳米的激光，则在抽空气室时会计数 100 个条纹。原始气体的折射率是多少？,1.00063,1.00032,1.00016,0.99968,B,college_physics
54,在理想条件下，超导体内部的电场和磁场为零。麦克斯韦方程组意味着，下列哪项在超导体表面外必定成立？,B = 0,B 垂直于表面。,B 与表面相切。,B 与时间无关。,C,college_physics
10,两个分离的带电粒子由静止释放后加速度都会立即增加。那么，这两个粒子的电荷符号,相同,相反,两者其一,需要更多信息,B,conceptual_physics
16,当你看着玫瑰的红色花瓣时，你看到的色光是,红色。,绿色。,白色光中减去红色。,绿色和黄色的混合色。,A,conceptual_physics
