ID,Question,A,B,C,D,Answer,Subject
41,求环 Z_3 x 3Z 的特征。,0,3,12,30,A,abstract_algebra
48,陈述 1 | 若 R 是一个整域，则 R[x] 是一个整域。陈述 2 | 若 R 是一个环，且 f(x) 和 g(x) 在 R[x] 中，则 deg (f(x)g(x)) = deg f(x) + deg g(x)。,真，真,假，假,真，假,假，真,C,abstract_algebra
20,窦房结位于哪个位置？,位于左心房和左心室之间,位于右心房和右心室之间,位于右心房上壁,位于左心室上壁,C,anatomy
43,下牙槽神经阻滞成功后可以麻醉,下唇。,下唇和下颌牙。,下唇、下颌牙和下前牙的唇侧龈。,下唇、下颌牙、下前牙的唇侧龈和下后牙的颊侧龈。,C,anatomy
81,当需要紧急打开气道时，应,在甲状软骨正上方刺穿环甲膜。,在甲状软骨正下方刺穿环甲膜。,在环状软骨正下方刺穿环甲膜。,在甲状腺峡部正下方刺穿环甲膜。,B,anatomy
84,在“爆裂性”骨折中，眶壁的哪个结构最可能塌陷？,顶壁,底壁,外侧壁,内侧壁,B,anatomy
86,关于上颌骨出生后生长，下列哪项陈述是正确的？,上颌窦发育过程中的气化作用在青春期停止,通过上颌结节再吸收，为恒磨牙的萌出创造空间,颧上颌缝有助于上颌骨高度和长度的增加,上颌间缝在出生后 8 岁时闭合,C,anatomy
109,一例患者在头部受伤后入院，快速陷入昏迷。MRI 扫描提示硬膜外出血，因为扫描显示外渗血液出现在,颅骨和硬脑膜之间。,硬脑膜和蛛网膜之间。,蛛网膜和软脑膜之间。,软脑膜和大脑表面之间。,A,anatomy
13,我们为什么要在水星极点的陨石坑中寻找水冰？,实际上，水冰遍布水星，而不仅仅是在两极。,极点是唯一有幸受到彗星撞击的地方,来自地球的雷达只能看到水星的两极。,这些陨石坑包含了水星上唯一的永久阴影区域,D,astronomy
20,行星的岩石圈是由以下哪部分组成的层,地幔中较软的岩石材料。,从火山中喷出的熔岩。,地壳和地幔之间的物质。,地壳和地幔最上部的坚硬岩石物质。,D,astronomy
33,行星环是,已知所有木星行星都存在。,由大量单个粒子组成，这些粒子按照开普勒第三定律绕行星轨道运行。,比地球上的任何一颗大卫星都更接近他们的星球。,以上所有选项,D,astronomy
74,仙女座星系大约有多远？,170 万光年,210 万光年,250 万光年,320 万光年,C,astronomy
82,在过去的几十年里，地球一直在逐渐变暖。基于大量证据，科学家得出结论，这种变暖是由________引起的。,人类活动正在增加地球大气中温室气体的浓度,是我们的政客们在大肆宣扬,人类将称为 CFC 的化学物质释放到平流层中,近年来森林火灾增加,A,astronomy
95,木星的带和区域是,木星深处的气态和金属氢层的名称。,不同纬度的交替上升和下降的空气带。,木星磁场中带电粒子的交替区域。,由木卫一火山的离子产生的等离子体环面区域,B,astronomy
96,火星的两颗卫星被称为……,Tritos 和 Desmos,Tritos 和火卫二,火卫一和 Tritos,火卫一和火卫二,D,astronomy
139,除了大型天文物体之外，天体物理学家还对来自太空的小粒子感兴趣。以下粒子中哪一个与其他粒子的相互作用最弱？,µ 介子,反粒子,ν 中微子,π 微磁子,C,astronomy
143,决定恒星周围宜居带的是什么？,恒星周围行星表面可能存在液态水的区域,恒星周围人类可以生存的区域,恒星周围紫外线辐射不会破坏行星表面生物的区域,恒星周围存在生命的区域,A,astronomy
11,对于手臂下运动神经元病变，以下哪项正确？,它会导致手臂张力增高（张力亢进）,从未出现肌束震颤,反射加快,尺骨神经麻痹是下运动神经元病变的一个例子,D,clinical_knowledge
15,以下哪项是第三脑神经麻痹，属于神经外科急诊？,单侧瞳孔收缩。,双侧瞳孔收缩。,单侧瞳孔固定扩张。,椭圆形瞳孔。,C,clinical_knowledge
47,用于提高表现的合成类固醇是基于下列哪种激素的结构：,睾酮。,皮质醇。,孕激素。,醛固酮。,A,clinical_knowledge
178,下列哪些因素会影响酶的活性？,温度。,pH。,某些金属离子的存在。,以上都是。,D,clinical_knowledge
201,糖酵解的酶位于：,线粒体。,细胞核。,细胞质。,溶酶体。,C,clinical_knowledge
236,形成气孔最常见的原因之一是：,肠易激综合征。,痔疾。,癌。,膀胱不稳定。,C,clinical_knowledge
78,如果一种酶的活性在广泛的 pH 范围内保持恒定，则很可能是,只有酶上的电离基团参与反应,只有底物上的电离基团参与反应,酶和底物上的电离基团都参与反应,酶或底物上没有电离基团参与反应,D,college_biology
100,关于线粒体和叶绿体，以下哪种说法通常是正确的？,植物有叶绿体但没有线粒体；动物有线粒体但没有叶绿体。,植物有叶绿体但没有线粒体；真菌有线粒体但没有叶绿体。,植物和真菌有叶绿体但没有线粒体；动物只有线粒体。,植物既有叶绿体又有线粒体；动物和真菌只有线粒体。,D,college_biology
26,"下列关于符合拉乌尔定律的二元液体混合物，下列哪项陈述正确？
I. 每种组分在平衡时的分压力与其在液体混合物中的摩尔分数成正比。
II. 混合物的体积等于混合前每种组分的体积之和。
III. 混合物中的分子间相互作用与纯组分中的分子间相互作用相同。",仅 I,仅 III,仅 I 和 III,I、II 和 III,D,college_chemistry
71,氘化氯 (DCl) 的红外吸收频率与氯化氢 (HCl) 不同，这是由于它们的下列哪种差异？,电子分布,偶极矩,力常数,约化质量,D,college_chemistry
