ID,Question,A,B,C,D,Answer,Subject
7,陈述 1 | 当且仅当核为 {0} 时，环同态是一对一的。陈述 2 | Q 是 R 中的一个理想。,真，真,假，假,真，假,假，真,D,abstract_algebra
11,"若 A = {1, 2, 3}，则关系 S = {(1, 1), (2, 2)} 是",仅对称,仅反对称,对称和反对称,等价相关,C,abstract_algebra
50,陈述 1 | 每一个可解群是素幂阶的。陈述 2 | 每一个素幂阶群是可解的。,真，真,假，假,真，假,假，真,D,abstract_algebra
86,陈述 1 | 若 H 和 K 是群 G 的子群，则 |HK| = |H||K|/|H intersection K|。陈述 2 | 一个 2p （其中 p 是奇素数）阶的群对于 D_p 是循环或同构的。,真，真,假，假,真，假,假，真,A,abstract_algebra
88,计算给定环中的乘积。Z_24 中：(12)(16),0,1,4,6,A,abstract_algebra
15,关于瞳孔对光反射，下列哪项陈述是正确的？,其传出支在视神经中,其由中脑下丘介导,其属于互感性反射,其传入支在眼动神经中,C,anatomy
19,下列哪个结构能够使空气进入肺部？,主动脉,食管,气管,胰腺,C,anatomy
31,在吞咽过程的咽期，防止食物进入喉部的方式是,喉入口收缩。,会厌上移。,喉下移。,增加呼吸率。,A,anatomy
41,支配软腭肌肉的神经是,三叉神经和舌咽神经的分支。,面神经和舌咽神经的分支。,三叉神经和迷走神经的分支。,面神经和迷走神经的分支。,C,anatomy
97,对于口腔健康正常的患者，您预期支持下颌牙的牙槽突所覆盖黏膜,在黏膜-牙龈交界的两侧均为浅粉色。,在黏膜-牙龈交界下方为浅粉色，其上方为红色。,在黏膜-牙龈交界下方为红色，其上方为浅粉色。,在黏膜-牙龈交界的两侧均为红色。,C,anatomy
101,翼外肌,附着在冠突上，可提升下颌骨。,附着在髁突上，可提升下颌骨。,附着在冠突上，可牵引下颌骨突出。,附着在髁突上，可牵引下颌骨突出。,D,anatomy
123,下列哪块骨骼的突起与颧骨连接形成颧弓？,上颌骨,颞骨,蝶骨,额骨,B,anatomy
18,以下哪项（或多项）是所有在固体表面上形成的新鲜（即未被侵蚀）撞击坑的共同特征：,喷出物,凸起的边缘,中央山峰,仅 A 和 B,D,astronomy
20,行星的岩石圈是由以下哪部分组成的层,地幔中较软的岩石材料。,从火山中喷出的熔岩。,地壳和地幔之间的物质。,地壳和地幔最上部的坚硬岩石物质。,D,astronomy
53,以下哪个国家/地区向金星发射了着陆器？,苏联,美国,法国,A 和 B,A,astronomy
91,为什么“精神号”火星探测车目前向北倾斜？,因为它正在爬上一座大山。,因为它在南半球，那里现在是冬天。,因为它在北半球，那里现在是冬天。,因为它的一个轮子坏了。,B,astronomy
