seed,方法,总分,与Full相关(均值),与Full均值差(均值),两子集相关,两子集均值差,两子集模型差(均值),排名
0,BUCKET,0.9776553633653629,0.9835807446510145,0.015055872980314522,0.969034961394544,0.030111745960629044,0.03321883769011348,2
0,IRT,0.9667220195948973,0.9735102311549314,0.10618818181523465,0.9721629113993054,0.01095088400633426,0.01967641858548383,3
0,MATRIX,0.9794061284873099,0.9823001972251921,0.022866638734869882,0.9684863468260143,0.016096361669524772,0.021966077935304383,1
1,BUCKET,0.9768792812366969,0.9829083633552688,0.013894637941251897,0.9605841516295117,0.027789275882503794,0.030366215424100097,1
1,IRT,0.9690241071704662,0.9755183669359451,0.11334896254886512,0.977340712008235,0.0027732099599376836,0.01671347391645036,3
1,MATRIX,0.972360388154786,0.9774124301684082,0.0183547499227652,0.9592852756910506,0.0367094998455304,0.03777628512327912,2
2,BUCKET,0.9782154028063463,0.9770206451929366,0.023891910334114252,0.9646047716007871,0.01517926664223268,0.019981815400164273,1
2,IRT,0.9688950101112499,0.9789623529942182,0.09756844050812341,0.9706773146839264,0.00965650608351809,0.020308131344052207,3
2,MATRIX,0.9713239444561961,0.9806363126271325,0.03318198330615457,0.9734161429927076,0.04603739062686463,0.04609212679520137,2
3,BUCKET,0.9683519176938933,0.9815587914635834,0.02672002275825014,0.9616003166401306,0.05344004551650028,0.05363973119352859,2
3,IRT,0.9667481419991533,0.9702533165076598,0.11544369956463546,0.9787098526418405,0.004856880569375055,0.017512221023494548,3
3,MATRIX,0.9724161094817114,0.9833937161097905,0.023136569332618095,0.9665376571540854,0.04627313866523619,0.046319095244792864,1
4,BUCKET,0.978817085786767,0.9807500754450025,0.013199585504105271,0.9623611735840752,0.02114161324668773,0.024158729606067027,2
4,IRT,0.9621532132132079,0.971502206953212,0.1285952230646097,0.9713825636950721,0.017855414094584354,0.02361939854640003,3
4,MATRIX,0.9808242345383372,0.9817399063845758,0.011948520953619146,0.9579004133418708,0.007424441268612969,0.020499698213788713,1
5,BUCKET,0.9757352463851902,0.9833887103471668,0.01709150645786839,0.9638364534809949,0.03418301291573678,0.03494567673562335,2
5,IRT,0.9681610317801004,0.9751624161825925,0.12198620619125644,0.9783764915296407,0.002557783167584482,0.016601371954530823,3
5,MATRIX,0.9814415720001063,0.9814279093029941,0.01726548465370098,0.9626631374817165,0.004980202906156417,0.018246735639978865,1
6,BUCKET,0.9818908006704767,0.9793583356098539,0.0005378684862269445,0.9544095241185099,0.001075736972453889,0.020615264027506276,1
6,IRT,0.968418174662832,0.975170776270968,0.10785404754891226,0.9707172538755366,0.0004178137070078858,0.018270617148371582,3
6,MATRIX,0.981519656784066,0.981768837418217,0.033623595196898004,0.9757031587743826,0.0067467162896540644,0.016606045991321722,2
7,BUCKET,0.9731127269050255,0.981629600763372,0.02095685025567906,0.9682671194578008,0.04191370051135812,0.04250946382501404,2
7,IRT,0.9675444303342509,0.9786503804695061,0.11595458313197915,0.9767747251113836,0.012610677012887983,0.019615256412601464,3
7,MATRIX,0.9739576254279477,0.9840294134997968,0.020951898148677983,0.9707748077064965,0.041903796297355966,0.04228122969194218,1
8,BUCKET,0.9793726659157445,0.9844214625269108,0.018690920139633638,0.9670307400264974,0.02160028191019958,0.025889614909163205,1
8,IRT,0.9670306953528385,0.9762539080421042,0.12382900759420074,0.9724001869931483,0.00289243417044982,0.018181883563007525,2
8,MATRIX,0.966721068717873,0.9823484621389051,0.03210311519467196,0.9705366779408036,0.06420623038934392,0.06421123390791718,3
42,BUCKET,0.9773748093356793,0.981131176687762,0.010186552764436863,0.9555034205559076,0.020373105528873725,0.026535877785144366,1
42,IRT,0.968000469034922,0.9736729268370958,0.11215708381804518,0.9727085764119475,0.0012750790291727876,0.01832856598623744,3
42,MATRIX,0.9681489586574109,0.9780767827420709,0.03003530713895447,0.9534131008593676,0.04108468623373984,0.04255689109986625,2
