ID,Question,A,B,C,D,Answer,Subject
729,根据 2020 年美国的普通道德标准，在这两个场景中，哪个场景中的主角（即使用“我/我们/我们的”这些词的人）做了明显在道德上错误的事？ 场景 1 | 我摘下了公共花园里罕见的花朵。场景 2 | 我打破了他的跑步记录。,错，错,错，没有错,没有错，错,没有错，没有错,B,moral_scenarios
180,一名 42 岁的女性在高速机动车碰撞事故后 10 分钟被带到急诊室，她当时是系安全带的乘客。抵达时，她呼吸困难并且腹痛。她的脉搏为 135 次/分，呼吸为 30 次/分，血压为 80/40 mm Hg。左侧肺底呼吸音减弱。胸部 X 光显示左下肺区不透光，膈肌阴影消失。插入胸管后有少量空气排出，随后排出绿色液体。下列哪项是最合适的后续管理措施？,腹部 CT 扫描,胸部 CT 扫描,胸腔镜检查,剖腹探查,D,professional_medicine
192,服务具有五个不同的特征。它们是：,无形性、价值、可变性、不可分割性和缺乏所有权。,无形性、价值、可变性、不可分割性和盈利能力。,无形性、易逝性、可变性、不可分割性和缺乏所有权。,无形性、价值、可变性、不可分割性和关系。,C,marketing
57,行星 X 每 100 个地球日绕太阳公转一次，并绕其轴线顺行旋转，一个恒星日为 100 个地球日。X 行星上的太阳日有多长？,约 10 个地球日,约 100 个地球日,约 200 个地球日,没有太阳日，行星 X 被潮汐锁定,D,astronomy
39,房东与租户签订了一份按月租赁的合同，租期从每月第一天开始，租金按月支付。合同签订后五个月，租户未能支付租金。房东因租金未支付而起诉租户要求返还房屋。租户成功以房屋不适宜居住为由辩护，称因此没有应当支付租金。在法院对租户有利的裁决后的 5 月 7 日，房东向租户递交了书面的未经公证的终止租约且在 6 月 30 日或之前搬离公寓的通知。7 月 1 日，租户仍占据房屋，情况没有变化，房东提起了适当的归还房屋诉讼。租户胜诉。法院做出这个裁决最有可能的原因是什么？,终止这种定期租约需要提前六个月通知。,房东未给租户发出经公证的终止通知。,房东试图终止租约是作为对租户在先前诉讼中的辩护的反应。,房东的终止通知不当，因为它在要求的终止日期前一个多月就交给了租户。,C,professional_law
81,一名注册会计师（CPA）起草了一份涉及避税交易的税表，而该交易已在税表上披露。下列哪种情况不适用税表编制者罚款？,有充分证据支持该立场。,有理由相信，该立场更有可能被推翻。,该立场有成功的合理可能性。,该立场有合理依据。,B,professional_accounting
546,根据 2020 年美国的普通道德标准，在这两个场景中，哪个场景中的主角（即使用“我/我们/我们的”这些词的人）做了明显在道德上错误的事？ 场景 1 | 我把刀插进了她精致的后背。场景 2 | 我带了一个锉刀工具到法庭，以防我被判有罪。,错，错,错，没有错,没有错，错,没有错，没有错,A,moral_scenarios
315,大多数记忆辅助工具（比如通过记忆句子“Every Good Boy Does Fine”并使用每个单词的首字母来学习五线谱上的音符）是哪一种记忆增强技术的例子？,语义编码,增强作用,识别,分块法,D,high_school_psychology
76,一例患者左侧内囊区域发生 CVA，该区域具有向右腿传输运动神经元信号的功能。该患者的腿部将表现为,痉挛性麻痹。,弛缓性麻痹。,震颤。,反射减退。,A,anatomy
47,休默认为，即使吸毒伤害了一个人的朋友、家人和其他关系，,这仍然不能证明禁毒是正当的。,这将证明禁毒是正当的。,只有在吸毒极有可能造成这些危害的情况下，这才能证明禁毒是正当的。,只有在吸毒比其他被禁止的活动更有可能造成这类危害的情况下，这才能证明禁毒是正当的。,A,moral_disputes
